Station_ID,Location,Temperature_C,Humidity_%,Wind_Speed_kmh,Precipitation_mm,Air_Quality_Index,Date,Sensor_Status,Notes,Region,Elevation_m
STN_0001,,-5.2,100%,15km/h,12.3,Severe,,OFF,Check sensor,South,Two Thousand
STN_0002,Desrt ,-5.2,45,15km/h,0,,2025-10-01,ok,,North,Two Thousand
STN_0003,Amazon,N/A,eighty,,rainy,Severe,03-10-25,Inactive,normal,North,
STN_0004,Amazon,N/A,100%,,12.3,,2025-10-01,OFF,Data lost,Unknown,Two Thousand
STN_0005,Amazon,30.1,35,12.5,0,150,03-10-25,ok,,Unknown,120
STN_0006,Pacific,-5.2,75,18.2,12.3,,10/02/2025,OFF,Storm impact,,120
STN_0007,Arctic,-5.2,90,18.2,4.5,Poor,10/02/2025,FAULTY,Calibration needed,,550
STN_0008,Pacific,,90,,rainy,Severe,N/A,FAULTY,Storm impact,,N/A
STN_0009,Arctic,N/A,,12.5,,Good,,OFF,Calibration needed,North,
STN_0010,Pacific,-5.2,60,18.2,12.3,150,N/A,Inactive,Storm impact,South,2300
,Pacific,thirty,75,12.5,4.5,Poor,03-10-25,Inactive,Check sensor,West,N/A
STN_0012,,30.1,,12.5,,Moderate,N/A,OFF,,,2300
STN_0013,Himalaya,40.3,75,12.5,,Severe,2025-10-01,ok,Calibration needed,South,550
STN_0014,Pacific,thirty,35,25.7,20mm,Excellent,03-10-25,,Data lost,East,550
STN_0015,,thirty,60,15km/h,12.3,Excellent,10/02/2025,Inactive,,,Two Thousand
STN_0016,Sahara,40.3,100%,12.5,0,Good,,Active,Data lost,West,550
STN_0017,Himalaya,15.7,100%,25.7,12.3,,03-10-25,FAULTY,,East,550
STN_0018,Pacific,15.7,90,,4.5,Good,03-10-25,OFF,,East,2300
STN_0019,Desrt ,30.1,100%,18.2,,Excellent,2025-10-01,Active,Storm impact,West,Two Thousand
STN_0020,Amazon,thirty,100%,15km/h,12.3,Moderate,,OFF,Calibration needed,,550
STN_0021,Sahara,-5.2,35,N/A,0,150,10/02/2025,FAULTY,Calibration needed,North,N/A
STN_0022,Sahara,N/A,45,18.2,20mm,150,03-10-25,FAULTY,,West,550
STN_0023,,30.1,90,15km/h,12.3,Severe,03-10-25,Inactive,Check sensor,West,Two Thousand
STN_0024,Sahara,,,N/A,rainy,150,2025-10-01,Inactive,Check sensor,West,
STN_0025,Himalaya,40.3,eighty,18.2,20mm,Severe,N/A,Active,Data lost,East,Two Thousand
STN_0026,Pacific,thirty,45,15km/h,0,Severe,10/02/2025,OFF,Data lost,South,2300
STN_0027,Pacific,30.1,,18.2,4.5,Severe,,FAULTY,Storm impact,North,
STN_0028,Desrt ,22.5,60,18.2,,Excellent,03-10-25,Active,,,N/A
